Airline,Day_of_Month,Delayed_Departure,Total flights per day,Percentage,Tier
Alaska Airlines,1,178,727,0.24484181568088034,Tier 2
Alaska Airlines,2,137,749,0.1829105473965287,Tier 2
Alaska Airlines,3,153,744,0.2056451612903226,Tier 2
Alaska Airlines,4,189,712,0.2654494382022472,Tier 2
Alaska Airlines,5,186,731,0.25444596443228457,Tier 2
Alaska Airlines,6,205,748,0.27406417112299464,Tier 2
Alaska Airlines,7,118,649,0.18181818181818182,Tier 2
Alaska Airlines,8,90,650,0.13846153846153847,Tier 2
Alaska Airlines,9,132,701,0.18830242510699002,Tier 2
Alaska Airlines,10,180,706,0.254957507082153,Tier 2
Alaska Airlines,11,88,560,0.15714285714285714,Tier 2
Alaska Airlines,12,172,666,0.25825825825825827,Tier 2
Alaska Airlines,13,187,661,0.28290468986384265,Tier 2
Alaska Airlines,14,95,606,0.15676567656765678,Tier 2
Alaska Airlines,15,80,643,0.12441679626749612,Tier 2
Alaska Airlines,16,161,680,0.23676470588235293,Tier 2
Alaska Airlines,17,133,690,0.1927536231884058,Tier 2
Alaska Airlines,18,78,557,0.1400359066427289,Tier 2
Alaska Airlines,19,70,676,0.10355029585798817,Tier 2
Alaska Airlines,20,73,683,0.10688140556368961,Tier 2
Alaska Airlines,21,64,632,0.10126582278481013,Tier 2
Alaska Airlines,22,73,645,0.11317829457364341,Tier 2
Alaska Airlines,23,90,697,0.1291248206599713,Tier 2
Alaska Airlines,24,121,698,0.17335243553008595,Tier 2
Alaska Airlines,25,84,559,0.15026833631484796,Tier 2
Alaska Airlines,26,132,676,0.1952662721893491,Tier 2
Alaska Airlines,27,102,685,0.14890510948905109,Tier 2
Alaska Airlines,28,75,635,0.11811023622047244,Tier 2
Alaska Airlines,29,71,647,0.10973724884080371,Tier 2
Alaska Airlines,30,113,679,0.16642120765832105,Tier 2
Alaska Airlines,31,203,691,0.2937771345875543,Tier 2
Endeavor Air,1,22,457,0.04814004376367615,Tier 2
Endeavor Air,2,56,734,0.07629427792915532,Tier 2
Endeavor Air,3,143,723,0.19778699861687413,Tier 2
Endeavor Air,4,63,588,0.10714285714285714,Tier 2
Endeavor Air,5,88,761,0.11563731931668857,Tier 2
Endeavor Air,6,108,834,0.12949640287769784,Tier 2
Endeavor Air,7,55,831,0.06618531889290012,Tier 2
Endeavor Air,8,130,839,0.15494636471990464,Tier 2
Endeavor Air,9,41,840,0.04880952380952381,Tier 2
Endeavor Air,10,81,833,0.09723889555822329,Tier 2
Endeavor Air,11,73,442,0.16515837104072398,Tier 2
Endeavor Air,12,127,708,0.17937853107344634,Tier 2
Endeavor Air,13,140,832,0.16826923076923078,Tier 2
Endeavor Air,14,77,814,0.0945945945945946,Tier 2
Endeavor Air,15,72,834,0.08633093525179857,Tier 2
Endeavor Air,16,203,832,0.2439903846153846,Tier 2
Endeavor Air,17,167,777,0.21492921492921493,Tier 2
Endeavor Air,18,115,389,0.29562982005141386,Tier 2
Endeavor Air,19,36,404,0.0891089108910891,Tier 2
Endeavor Air,20,111,770,0.14415584415584415,Tier 2
Endeavor Air,21,58,831,0.06979542719614922,Tier 2
Endeavor Air,22,67,839,0.07985697258641239,Tier 2
Endeavor Air,23,80,840,0.09523809523809523,Tier 2
Endeavor Air,24,92,838,0.10978520286396182,Tier 2
Endeavor Air,25,70,460,0.15217391304347827,Tier 2
Endeavor Air,26,37,715,0.05174825174825175,Tier 2
Endeavor Air,27,74,841,0.08799048751486326,Tier 2
Endeavor Air,28,31,831,0.03730445246690734,Tier 2
Endeavor Air,29,35,839,0.041716328963051254,Tier 2
Endeavor Air,30,34,840,0.04047619047619048,Tier 2
Endeavor Air,31,79,839,0.09415971394517282,Tier 2
Envoy Air,1,116,860,0.13488372093023257,Tier 2
Envoy Air,2,147,907,0.16207276736493936,Tier 2
Envoy Air,3,186,901,0.20643729189789123,Tier 2
Envoy Air,4,256,881,0.2905788876276958,Tier 2
Envoy Air,5,171,922,0.18546637744034708,Tier 2
Envoy Air,6,100,929,0.10764262648008611,Tier 2
Envoy Air,7,31,756,0.041005291005291,Tier 2
Envoy Air,8,71,816,0.08700980392156862,Tier 2
Envoy Air,9,81,896,0.09040178571428571,Tier 2
Envoy Air,10,128,754,0.16976127320954906,Tier 2
Envoy Air,11,165,419,0.3937947494033413,Tier 2
Envoy Air,12,233,867,0.2687427912341407,Tier 2
Envoy Air,13,199,858,0.23193473193473194,Tier 2
Envoy Air,14,65,768,0.08463541666666667,Tier 2
Envoy Air,15,73,809,0.09023485784919653,Tier 2
Envoy Air,16,219,889,0.24634420697412823,Tier 2
Envoy Air,17,167,742,0.22506738544474394,Tier 2
Envoy Air,18,157,550,0.28545454545454546,Tier 2
Envoy Air,19,178,844,0.2109004739336493,Tier 2
Envoy Air,20,97,851,0.11398354876615746,Tier 2
Envoy Air,21,38,782,0.04859335038363171,Tier 2
Envoy Air,22,75,808,0.09282178217821782,Tier 2
Envoy Air,23,296,893,0.3314669652855543,Tier 2
Envoy Air,24,189,889,0.2125984251968504,Tier 2
Envoy Air,25,95,631,0.15055467511885895,Tier 2
Envoy Air,26,85,879,0.09670079635949944,Tier 2
Envoy Air,27,245,784,0.3125,Tier 2
Envoy Air,28,151,784,0.19260204081632654,Tier 2
Envoy Air,29,58,816,0.07107843137254902,Tier 2
Envoy Air,30,75,899,0.08342602892102335,Tier 2
Envoy Air,31,106,900,0.11777777777777777,Tier 2
JetBlue,1,134,820,0.16341463414634147,Tier 2
JetBlue,2,92,811,0.11344019728729964,Tier 2
JetBlue,3,123,809,0.15203955500618047,Tier 2
JetBlue,4,259,716,0.361731843575419,Tier 2
JetBlue,5,180,780,0.23076923076923078,Tier 2
JetBlue,6,190,827,0.22974607013301088,Tier 2
JetBlue,7,139,795,0.17484276729559747,Tier 2
JetBlue,8,156,792,0.19696969696969696,Tier 2
JetBlue,9,99,842,0.11757719714964371,Tier 2
JetBlue,10,104,838,0.12410501193317422,Tier 2
JetBlue,11,93,685,0.13576642335766423,Tier 2
JetBlue,12,155,813,0.1906519065190652,Tier 2
JetBlue,13,106,832,0.12740384615384615,Tier 2
JetBlue,14,67,778,0.08611825192802057,Tier 2
JetBlue,15,71,790,0.08987341772151898,Tier 2
JetBlue,16,183,828,0.2210144927536232,Tier 2
JetBlue,17,169,844,0.20023696682464456,Tier 2
JetBlue,18,173,688,0.251453488372093,Tier 2
JetBlue,19,180,818,0.2200488997555012,Tier 2
JetBlue,20,100,838,0.11933174224343675,Tier 2
JetBlue,21,84,780,0.1076923076923077,Tier 2
JetBlue,22,72,780,0.09230769230769231,Tier 2
JetBlue,23,77,818,0.0941320293398533,Tier 2
JetBlue,24,63,832,0.07572115384615384,Tier 2
JetBlue,25,117,663,0.17647058823529413,Tier 2
JetBlue,26,121,801,0.15106117353308365,Tier 2
JetBlue,27,104,822,0.12652068126520682,Tier 2
JetBlue,28,75,761,0.09855453350854139,Tier 2
JetBlue,29,69,768,0.08984375,Tier 2
JetBlue,30,69,820,0.08414634146341464,Tier 2
JetBlue,31,90,832,0.10817307692307693,Tier 2
Mesa Airlines,1,148,586,0.2525597269624573,Tier 2
Mesa Airlines,2,185,602,0.3073089700996678,Tier 2
Mesa Airlines,3,114,614,0.18566775244299674,Tier 2
Mesa Airlines,4,69,571,0.12084063047285463,Tier 2
Mesa Airlines,5,104,605,0.171900826446281,Tier 2
Mesa Airlines,6,71,604,0.11754966887417219,Tier 2
Mesa Airlines,7,87,532,0.16353383458646617,Tier 2
Mesa Airlines,8,70,574,0.12195121951219512,Tier 2
Mesa Airlines,9,46,608,0.0756578947368421,Tier 2
Mesa Airlines,10,86,513,0.16764132553606237,Tier 2
Mesa Airlines,11,134,449,0.2984409799554566,Tier 2
Mesa Airlines,12,91,596,0.15268456375838926,Tier 2
Mesa Airlines,13,87,571,0.15236427320490367,Tier 2
Mesa Airlines,14,95,520,0.18269230769230768,Tier 2
Mesa Airlines,15,66,569,0.11599297012302284,Tier 2
Mesa Airlines,16,180,600,0.3,Tier 2
Mesa Airlines,17,88,564,0.15602836879432624,Tier 2
Mesa Airlines,18,63,407,0.1547911547911548,Tier 2
Mesa Airlines,19,108,558,0.1935483870967742,Tier 2
Mesa Airlines,20,93,583,0.1595197255574614,Tier 2
Mesa Airlines,21,57,536,0.10634328358208955,Tier 2
Mesa Airlines,22,67,574,0.11672473867595819,Tier 2
Mesa Airlines,23,127,603,0.21061359867330018,Tier 2
Mesa Airlines,24,73,601,0.12146422628951747,Tier 2
Mesa Airlines,25,46,489,0.09406952965235174,Tier 2
Mesa Airlines,26,66,598,0.11036789297658862,Tier 2
Mesa Airlines,27,140,526,0.2661596958174905,Tier 2
Mesa Airlines,28,57,532,0.10714285714285714,Tier 2
Mesa Airlines,29,38,578,0.0657439446366782,Tier 2
Mesa Airlines,30,63,608,0.10361842105263158,Tier 2
Mesa Airlines,31,58,602,0.09634551495016612,Tier 2
PSA Airlines,1,108,669,0.16143497757847533,Tier 2
PSA Airlines,2,215,835,0.25748502994011974,Tier 2
PSA Airlines,3,312,834,0.37410071942446044,Tier 2
PSA Airlines,4,261,777,0.3359073359073359,Tier 2
PSA Airlines,5,130,813,0.15990159901599016,Tier 2
PSA Airlines,6,107,840,0.12738095238095237,Tier 2
PSA Airlines,7,111,694,0.15994236311239193,Tier 2
PSA Airlines,8,88,795,0.11069182389937107,Tier 2
PSA Airlines,9,109,821,0.13276492082825822,Tier 2
PSA Airlines,10,105,814,0.128992628992629,Tier 2
PSA Airlines,11,125,644,0.19409937888198758,Tier 2
PSA Airlines,12,168,791,0.21238938053097345,Tier 2
PSA Airlines,13,284,808,0.35148514851485146,Tier 2
PSA Airlines,14,157,689,0.22786647314949202,Tier 2
PSA Airlines,15,134,786,0.17048346055979643,Tier 2
PSA Airlines,16,169,803,0.21046077210460773,Tier 2
PSA Airlines,17,163,812,0.20073891625615764,Tier 2
PSA Airlines,18,177,639,0.27699530516431925,Tier 2
PSA Airlines,19,192,731,0.26265389876880985,Tier 2
PSA Airlines,20,215,807,0.2664188351920694,Tier 2
PSA Airlines,21,142,695,0.20431654676258992,Tier 2
PSA Airlines,22,121,801,0.15106117353308365,Tier 2
PSA Airlines,23,95,825,0.11515151515151516,Tier 2
PSA Airlines,24,191,824,0.23179611650485438,Tier 2
PSA Airlines,25,66,674,0.09792284866468842,Tier 2
PSA Airlines,26,104,810,0.12839506172839507,Tier 2
PSA Airlines,27,169,814,0.2076167076167076,Tier 2
PSA Airlines,28,108,702,0.15384615384615385,Tier 2
PSA Airlines,29,73,803,0.09090909090909091,Tier 2
PSA Airlines,30,87,824,0.10558252427184465,Tier 2
PSA Airlines,31,151,825,0.18303030303030304,Tier 2
Republic Airways,1,49,744,0.06586021505376344,Tier 2
Republic Airways,2,69,927,0.0744336569579288,Tier 2
Republic Airways,3,118,936,0.12606837606837606,Tier 2
Republic Airways,4,188,824,0.22815533980582525,Tier 2
Republic Airways,5,123,914,0.13457330415754923,Tier 2
Republic Airways,6,110,1005,0.10945273631840796,Tier 2
Republic Airways,7,112,979,0.11440245148110317,Tier 2
Republic Airways,8,169,979,0.17262512768130744,Tier 2
Republic Airways,9,51,1013,0.050345508390918066,Tier 2
Republic Airways,10,151,997,0.1514543630892678,Tier 2
Republic Airways,11,58,649,0.08936825885978428,Tier 2
Republic Airways,12,104,922,0.11279826464208242,Tier 2
Republic Airways,13,76,1008,0.07539682539682539,Tier 2
Republic Airways,14,101,983,0.10274669379450661,Tier 2
Republic Airways,15,56,988,0.05668016194331984,Tier 2
Republic Airways,16,277,994,0.27867203219315895,Tier 2
Republic Airways,17,156,942,0.16560509554140126,Tier 2
Republic Airways,18,123,633,0.1943127962085308,Tier 2
Republic Airways,19,56,772,0.07253886010362694,Tier 2
Republic Airways,20,125,978,0.1278118609406953,Tier 2
Republic Airways,21,60,983,0.061037639877924724,Tier 2
Republic Airways,22,46,987,0.04660587639311044,Tier 2
Republic Airways,23,75,1007,0.07447864945382324,Tier 2
Republic Airways,24,75,1011,0.07418397626112759,Tier 2
Republic Airways,25,46,725,0.06344827586206897,Tier 2
Republic Airways,26,78,925,0.08432432432432432,Tier 2
Republic Airways,27,53,1010,0.05247524752475247,Tier 2
Republic Airways,28,59,981,0.060142711518858305,Tier 2
Republic Airways,29,42,991,0.04238143289606458,Tier 2
Republic Airways,30,69,1008,0.06845238095238096,Tier 2
Republic Airways,31,81,1011,0.08011869436201781,Tier 2
Spirit Airlines,1,50,604,0.08278145695364239,Tier 2
Spirit Airlines,2,58,606,0.09570957095709572,Tier 2
Spirit Airlines,3,113,604,0.1870860927152318,Tier 2
Spirit Airlines,4,195,607,0.3212520593080725,Tier 2
Spirit Airlines,5,149,606,0.24587458745874588,Tier 2
Spirit Airlines,6,66,584,0.11301369863013698,Tier 2
Spirit Airlines,7,31,479,0.06471816283924843,Tier 2
Spirit Airlines,8,52,486,0.10699588477366255,Tier 2
Spirit Airlines,9,52,579,0.08981001727115717,Tier 2
Spirit Airlines,10,92,575,0.16,Tier 2
Spirit Airlines,11,137,560,0.24464285714285713,Tier 2
Spirit Airlines,12,143,586,0.2440273037542662,Tier 2
Spirit Airlines,13,87,578,0.15051903114186851,Tier 2
Spirit Airlines,14,67,479,0.13987473903966596,Tier 2
Spirit Airlines,15,38,483,0.07867494824016563,Tier 2
Spirit Airlines,16,99,584,0.1695205479452055,Tier 2
Spirit Airlines,17,103,557,0.18491921005385997,Tier 2
Spirit Airlines,18,119,569,0.20913884007029876,Tier 2
Spirit Airlines,19,94,590,0.15932203389830507,Tier 2
Spirit Airlines,20,67,580,0.11551724137931034,Tier 2
Spirit Airlines,21,25,482,0.05186721991701245,Tier 2
Spirit Airlines,22,49,484,0.1012396694214876,Tier 2
Spirit Airlines,23,68,586,0.11604095563139932,Tier 2
Spirit Airlines,24,52,587,0.08858603066439523,Tier 2
Spirit Airlines,25,59,593,0.09949409780775717,Tier 2
Spirit Airlines,26,66,592,0.11148648648648649,Tier 2
Spirit Airlines,27,70,580,0.1206896551724138,Tier 2
Spirit Airlines,28,46,478,0.09623430962343096,Tier 2
Spirit Airlines,29,30,485,0.061855670103092786,Tier 2
Spirit Airlines,30,48,584,0.0821917808219178,Tier 2
Spirit Airlines,31,66,586,0.11262798634812286,Tier 2
